,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
50,react nodej express mongodb mern fullstack guid,build fullstack reactj applic nodej expressj mongodb mern projectfocus cours academind maximilian schwarzmüller,206,All Levels,19,4.7,924
51,python financi analysi algorithm trade,learn numpi panda matplotlib quantopian financ algorithm trade python jose portilla,121,All Levels,17,4.5,9565
52,modern python bootcamp,uniqu interact python experi nearli exercis quizz colt steel,374,Beginner,305,4.6,14864
53,c basic beginn learn c fundament code,master c fundament hour popular cours student pack tip exercis mosh hamedani,87,Beginner,55,4.5,30875
54,learn python ethic hack scratch,start learn topic simultan scratch write hack program zaid sabih,176,All Levels,235,4.6,6742
55,complet react nativ hook cours edit,understand react nativ hook context react navig stephen grider,419,All Levels,39,4.6,28994
56,complet tensorflow kera deep learn bootcamp,learn use python deep learn googl latest tensorflow librari kera jose portilla,115,All Levels,19,4.6,801
57,complet android oreo develop cours build app,learn android app develop use java kotlin build real app includ super mario run whatsapp instagram rob perciv,272,All Levels,375,4.5,7726
58,scrum certif prep scrum master agil scrum train,overview scrum agil project managementcommon questionstip pass psm scrum org onlin scrum master certif paul ashun,65,All Levels,3,4.4,14326
59,mongodb complet develop guid,master mongodb develop web mobil app crud oper index aggreg framework mongodb academind maximilian schwarzmüller,263,All Levels,175,4.6,5680
60,c program beginn master c languag,c program increas career option becom better dev languag learn c pointer explain tim buchalka learn program academi,137,All Levels,24,4.4,9000
61,modern html css begin includ sass,build modern respons websit ui html css sass learn flex css grid brad traversi,128,All Levels,21,4.7,6946
62,complet android n develop cours,learn android app develop android nougat build real app includ uber whatsapp instagram rob perciv,272,All Levels,325,4.4,24007
63,data scienc az reallif data scienc exercis includ,learn data scienc step step real analyt exampl data mine model tableau visual kiril eremenko,213,All Levels,21,4.6,22828
64,javascript algorithm data structur masterclass,miss comput scienc code interview bootcamp colt steel,249,All Levels,22,4.7,6417
65,modern javascript begin,learn build project pure javascript framework librari brad traversi,122,All Levels,215,4.7,15421
66,complet machin learn data scienc zero masteri,learn data scienc data analysi machin learn artifici intellig python tensorflow panda andrei neagoi,354,All Levels,425,4.7,599
67,tensorflow deep learn artifici intellig,neural network comput vision time seri forecast nlp gan reinforc learn lazi programm inc,124,All Levels,205,4.7,701
68,statist data scienc busi analysi,statist need offic descript inferenti statist hypothesi test regress analysi career,92,All Levels,5,4.5,10273
69,build app aspnet core angular scratch,practic exampl build applic aspnet core webapi v angular v start finish neil cum,218,Beginner,29,4.6,8984
70,master microservic spring boot spring cloud,awesom journey rest web servic microservic java spring boot spring cloud inminut offici,135,All Levels,11,4.4,14739
71,apach kafka seri learn apach kafka beginn v,start learn apach kafka ecosystem core concept real world java producersconsum big data architectur stephan maarek aw certifi solut architect develop,123,All Levels,75,4.7,12483
72,rpg core combat creator learn intermedi uniti c code,build combat role play game rpg uniti improv c sharp code architectur game level design ben tristem,188,Intermediate,275,4.7,6012
73,ultim guid game develop uniti,creat partnership uniti technolog learn c develop game comprehens guid jonathan weinberg,300,Beginner,21,4.6,10049
74,becom wordpress develop unlock power code,learn php javascript wordpress theme wp rest api creat custom interact wordpress websit brad schiff,113,All Levels,27,4.7,8359
75,complet oracl sql certif cours,dont learn sql languag becom jobreadi launch career certifi oracl sql develop imtiaz ahmad,38,All Levels,10,4.5,15246
76,c intermedi class interfac oop,indepth stepbystep guid class interfac objectori program oop c mosh hamedani,45,Intermediate,6,4.5,16491
