,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
336,ultim guid make strategi game uniti,game develop game artanim creat turn turn strategi game use uniti c psgimp noa calic aka blackthornprod,31,Intermediate,3,4.6,176
337,sql databas design az learn ms sql server postgresql,learn sql server postgresql enhanc data analyt career real world data scienc exercis kiril eremenko,103,All Levels,125,4.4,2729
338,full stack angular spring boot,build full stack applic angular spring boot chad darbi,96,Intermediate,75,4.6,349
339,probabl statist busi data scienc,learn appli probabl statist real data scienc busi applic jose portilla,53,All Levels,5,4.5,2224
340,android java complet android develop bootcamp,learn android app develop begin end learn code java build fun android project philipp muellauer,289,All Levels,21,4.4,6151
341,deep learn comput vision cnn opencv yolo ssd gan,go beginn expert use deep learn comput vision kera tf python real world project rajeev ratan,176,Intermediate,145,4.2,948
342,featur engin machin learn,transform variabl data build better perform machin learn model soledad galli,123,All Levels,10,4.6,994
343,modern deep learn python,build modern librari like tensorflow theano kera pytorch cntk mxnet train faster gpu aw lazi programm inc,80,All Levels,95,4.6,2054
344,unreal engin blueprint ultim develop cours,creat three complet video game includ mobil game without singl line code stephen ulibarri,120,All Levels,315,4.6,140
345,data scienc career guid interview prepar,prepar data scienc interview full guid career data scienc includ practic question jose portilla,110,All Levels,4,4.5,1354
346,complet c objectori program cours,one cours need learn c objectori program c z download sourc code ahmad mohey,273,All Levels,215,4.2,1278
347,amazon ek starter docker aw ek kubernet,deploy docker contain kubernet aw ek fargat kubernet state stateless app use elb eb ef stephan maarek aw certifi solut architect develop,53,Intermediate,55,4.4,661
348,jsp servlet jdbc beginn build databas app,jsp cover latest version jsp servlet popular jspservlet cours chad darbi,117,All Levels,9,4.5,5733
349,build blockchain cryptocurr fullstack edit,fullstack blockchain program cours backend frontend nodej jest express react heroku david joseph katz,125,Intermediate,15,4.5,793
350,python complet masterclass make job task easier,learn python handson fashion exercis quizz notebook cheat sheet ebook includ updat mihai catalin teodosiu python develop,310,Beginner,205,4.5,1107
351,algorithm data structur python,guid implement date algorithm scratch array link list graph algorithm sort holczer balaz,157,All Levels,145,4.2,1879
352,master hibern jpa spring boot step,learn hibern jpa java persist api use spring spring boot inminut offici,152,All Levels,13,4.4,2332
353,complet guid build iot thing scratch market,build iot product use arduino nodemcuesp iot platform sensor display keypadsrelay pcbscase junaid ahm,72,All Levels,6,4.3,1629
354,java applic perform memori manag,learn tune jvm make good code choic ensur applic perform optim matt greencroft,134,Intermediate,10,4.5,395
355,unsupervis machin learn hidden markov model python,hmm stock price analysi languag model web analyt biolog pagerank lazi programm inc,62,All Levels,9,4.6,2122
356,bootstrap bootcamp,learn build beauti respons websit latest bootstrap version flexbox html css colt steel,87,Beginner,115,4.7,1367
357,learn understand angularj,master angularj javascript concept behind design custom direct build singl page applic anthoni alicea,55,All Levels,7,4.5,17958
358,complet guid protocol buffer java golang python,googl protobuf exampl exercis code java go python say goodby json xml prereq grpc stephan maarek aw certifi solut architect develop,69,Beginner,35,4.7,961
359,preprogram everyth need know code,increas chanc success learn code commun develop evan kimbrel,87,Beginner,65,4.6,5628
360,wordpress develop theme plugin gutenberg,learn develop wordpress theme plugin includ woocommerc buddypress gutenberg develop lui ramirez jr,152,All Levels,215,4.5,1026
361,quasar framework crossplatform vue js vuex firebas app,use quasar vue js vuex firebas build cross platform singl codebas app web io android mac window danni connel,250,All Levels,15,4.8,583
362,cuttingedg ai deep reinforc learn python,appli deep learn artifici intellig reinforc learn use evolut strategi ac ddpg lazi programm inc,49,Expert,85,4.8,210
363,oracl java certif pass associ z exam,cours help learn step becom oracl certifi associ oca get higher pay job tim buchalka learn program academi,134,All Levels,20,4.3,2425
364,rest web servic java spring boot spring mvc jpa,implement api call signup signin email verif password reset updat delet deploy amazon aw cloud sergey kargopolov,260,Beginner,225,4.5,1578
365,java interview guid interview question answer,get readi java interview java interview question beginn inminut offici,55,Beginner,6,4.3,2710
366,complet servicenow develop cours,learn develop servicenow platform mark miller,57,Intermediate,85,4.4,2037
367,golang design build rest microservic go,need integr sql nosql databas search engin tool need rest api federico león,47,All Levels,205,4.5,78
368,data warehous concept basic advanc concept,data warehous concept learn bidata warehousebig data concept scratch becom expert sid inf,122,All Levels,7,4.0,1649
369,selenium webdriv java beginn,selenium webdriv java testng tutori design complet beginn selenium test autom dmitri shyshkin,42,Beginner,65,4.6,776
370,complet plsql bootcamp beginn advanc plsql,fullreal guid make real plsql develop also cover oracl z z pl sql exam complet oracl master train student worldwid,174,All Levels,21,4.4,1317
371,acceler es javascript train,learn use futur javascript today maximilian schwarzmüller,115,Intermediate,6,4.6,3843
372,build web app vue js firebas,learn vue js firebas creat deploy dynam web app includ authent net ninja shaun pell,118,All Levels,115,4.7,2583
373,apach kafka seri kafka cluster setup administr,handson train zookeep quorum setup kafka cluster setup administr aw stephan maarek aw certifi solut architect develop,48,Expert,4,4.7,1444
374,javascript basic beginn,javascript master fundament hour mosh hamedani,105,Beginner,65,4.5,3298
375,complet android q java develop cours,cours youll learn android develop get build android q app use java morteza kordi,594,All Levels,144,4.4,2828
376,python projectbas python algorithm data structur,learn program python visual algorithm data structur implement project python mashrur hossain,102,All Levels,145,4.5,265
377,uniti c surviv guid,creat partnership uniti technolog master c uniti complet guid jonathan weinberg,166,All Levels,125,4.5,852
378,master data visual dj,design build beauti data visual dj intens introduct librari v adam jane,95,Intermediate,7,4.4,2025
379,deep learn tensorflow,build deep learn algorithm tensorflow dive neural network appli skill busi case career,111,All Levels,6,4.5,1528
380,selenium webdriv masterclass c,build autom framework learn everyth selenium webdriv zero previou knowledg requir nikolay advolodkin,562,All Levels,425,4.3,7445
381,build linux base raspberri pi drone,learn design build fli even code raspberri pi drone scratch caleb bergquist,70,Intermediate,55,4.4,254
382,build backend rest api python django beginn,final creat app fullyfunct user databas crash cours build rest api mark winterbottom,73,Beginner,5,4.6,1857
383,autom softwar test python,learn autom softwar test python bdd selenium webdriv postman focus web applic jose salvatierra,141,Intermediate,135,4.5,2081
384,microsoft sql z,complet guid sql queri brewster knowlton,81,All Levels,55,4.5,2290
385,beginn guid artifici intellig uniti,practic guid program nonplay charact game penni de byl,70,Beginner,11,4.5,1368
386,program kid beginn learn code scratch,scratch learn program creat game fun scratch kid beginn parent teacher daniel ciocîrlan,38,Beginner,75,4.7,1644
387,allen bradley plc train rslogix seri,cours give person experi learn plc program scratch use rslogix studio shane welcher,87,Beginner,215,4.2,386
388,complet android java develop cours build app,learn android develop java android studio scratch week build diari app paulo dichon android java flutter develop teacher,228,All Levels,345,4.3,5326
389,complet io develop cours swiftui,learn io develop swift xcode build app game instagram foursquar etc also discov swiftui codestar rob perciv,299,All Levels,36,4.4,395
390,stream big data spark stream scala spark,handson exampl process massiv stream data real time cluster apach spark stream sundog educ frank kane,38,All Levels,65,4.5,2362
391,kotlin java develop,use java skill learn kotlin fast enhanc career prospect master kotlin includ java interoper tim buchalka,90,All Levels,17,4.4,1415
392,tensorflow practic,master tensorflow googl power machin learn librari practic project dr ryan ahm phd mba,82,All Levels,115,4.3,197
393,git github masterclass,add real world develop team skill version control sourc control resum program arsen tim buchalka learn program academi,73,All Levels,115,4.4,355
394,build recommend system machin learn ai,help peopl discov new product content deep learn neural network machin learn recommend sundog educ frank kane,110,Intermediate,95,4.5,996
395,dissect rubi rail becom profession develop,dont simpli follow tutori learn realli take becom pro rail develop immers cours jordan hudgen,226,All Levels,40,4.7,2414
396,gui develop python tkinter,master python gui develop use tkinter build desktop applic jose salvatierra,116,Intermediate,11,4.7,164
397,comput graphic modern opengl c,learn theori code behind modern opengl graphic applic make game simul ben cook,38,Intermediate,215,4.5,1017
398,googl app script complet cours beginn advanc,learn power googl suit product use app script connect autom add advanc function laurenc sveki,234,All Levels,18,4.4,962
399,docker java spring develop,master docker java spring use docker containeris java spring boot microservic docker compos inminut offici,63,All Levels,65,4.5,326
400,rest api design develop manag,learn rest api concept design best practic secur practic swagger oai hand api manag rajeev sakhuja,50,All Levels,7,4.3,2929
401,game developmentart creat action game unityc,game develop game artanim creat top shooter use uniti c psgimp noa calic aka blackthornprod,52,Beginner,5,4.6,1207
402,go java full stack spring boot react,build first java full stack applic react spring boot becom java full stack java web develop inminut offici,130,Beginner,115,4.5,789
403,selftaught programm,definit guid program profession cori althoff,79,Beginner,6,4.5,216
404,advanc ai game goalori action plan,artifici intellig creat complex game charact behaviour simul realtim strategi game penni de byl,40,Intermediate,8,4.8,54
405,machin learn practic workout realworld project,build practic project go zero hero deepmachin learn artifici neural network dr ryan ahm phd mba,89,Beginner,14,4.5,275
406,shader develop scratch uniti cg,learn program graphic pipelin uniti creat uniqu visual surfac game object penni de byl,77,Intermediate,105,4.7,1867
407,understand jira user manag admin,everyth need know get start atlassian power agil project manag issu tracker tool dan lefebvr,58,All Levels,75,4.4,4576
408,php oop object orient program beginn project,php oop learn oop php take skill anoth level make seriou money build awesom applic edwin diaz,224,All Levels,185,4.4,2632
409,master ansibl,complet guid configur manag orchestr ansibl chri lunsford,55,All Levels,5,4.3,5864
410,cucumb javabuild autom framework lesser code,step step cucumb bdd approach design power test frameworkseleniumappiumapi minimalcod rahul shetti,61,All Levels,105,4.4,1658
411,nativescript angular build nativ io android web app,use one angular nativescript codebas build nativ io android web app learn nativescript scratch academind maximilian schwarzmüller,240,All Levels,205,4.5,1057
412,complet spark ar cours build instagram ar effect,becom spark ar develop build augment realiti camera effect instagram use spark ar studio ryan hafner,121,All Levels,7,4.4,93
413,shell script discov autom command line task,learn shell program linux unix mac learn write shell script like pro solv realworld problem jason cannon,48,All Levels,6,4.2,4640
414,complet elixir phoenix bootcamp,master function program techniqu elixir phoenix learn build compel web applic stephen grider,152,All Levels,175,4.6,4545
415,uniti game develop build game,learn uniti game design game develop make c game uniti mark price,116,Beginner,355,4.4,4562
416,rxj practic free ebook,learn numer rxj oper learn rxj reactiv program core concept via practic exampl angular univers,46,All Levels,45,4.5,1593
417,complet io swift develop cours build app,use xcode swift make real io app like uber instagram coreml arkit includ aw credit rob perciv,305,All Levels,445,4.6,1711
418,deep learn prerequisit linear regress python,data scienc learn linear regress scratch build work program python data analysi lazi programm inc,50,All Levels,6,4.6,3865
419,deep learn gan variat autoencod,gener adversari network variat autoencod python theano tensorflow lazi programm inc,53,Intermediate,75,4.6,1495
420,amazon ec master class auto scale load balanc,aw ec expert learn autosc aw load balanc eb volum network vpc secur group ec instanc type stephan maarek aw certifi solut architect develop,63,All Levels,5,4.7,1078
421,microsoft powerapp flow build busi app without code,learn build app without code use microsoft powerapp microsoft flow power altern sy raza,38,Beginner,35,4.0,1067
422,data scienc complet data scienc machin learn,machin learn az data scienc python machin learn math machin learn statist data scienc jitesh khurkhuriya,281,All Levels,26,4.5,333
423,sql beginn learn sql use mysql databas design,understand sql use mysql databas learn databas design data analysi normal relationship tim buchalka learn program academi,122,Beginner,8,4.5,2908
424,essenti code interview question code exercis,learn handi problem solv techniqu get handpick problem get readi next code interview yk sugi,35,Intermediate,2,4.5,2545
425,aw serverless analyt glue redshift athena quicksight,build exabyt scale serverless data lake solut aw cloud redshift spectrum glue athena quicksight siddharth mehta,119,All Levels,12,4.2,769
426,deep learn convolut neural network python,comput vision data scienc machin learn combin theano tensorflow lazi programm inc,53,Intermediate,75,4.6,2500
427,oracl sql becom certifi sql develop scratch,learn sql profession certif cours hundr exampl includ real exam question oracl master train student worldwid,121,All Levels,14,4.5,3031
428,learn c game develop,learn basic c prepar game develop program stephen ulibarri,70,All Levels,125,4.6,612
429,complet python masterclass journey,master python use stori base learn go beginn abl creat real program python jose portilla,108,All Levels,105,4.4,1979
430,board game develop becom game design ninja,learn principl game design game develop fundament develop board game yann burrett,56,Beginner,11,4.4,1166
431,complet frontend web develop cours,get start frontend web develop use html css javascript jqueri bootstrap joseph delgadillo,117,All Levels,15,4.3,5546
432,complet java se develop bootcamp oca prep includ,master foundat java topic oracl certifi associ java se programm exam z intertech train,165,All Levels,12,4.5,4151
433,deep reinforc learn,smartest combin deep qlearn polici gradient actor critic ddpg hadelin de pontev,61,Beginner,95,4.5,260
434,distribut system cloud comput java,learn distribut java applic scale parallel program distribut comput cloud softwar architectur michael pogrebinski,51,All Levels,75,4.6,125
435,socketio websocket detail socket io v,socket io want learn har realtim commun web cluster redi react robert bunch,68,Intermediate,14,4.6,527
436,javascript project applic javascript game dom,javascript project app build project javascript game monster javascript applic portfolio game dom cours laurenc sveki,641,All Levels,465,4.7,252
437,learn sql use postgresql zero hero,master postgresql start basic advanc featur like trigger plpgsql function window function cte bunker,180,Beginner,16,4.5,824
438,swiftui declar interfac appl devic,updat xcode includ state bind observableobject mvvm web api core data core ml mohammad azam,126,All Levels,14,4.6,581
439,symfoni web develop guid beginn advanc,master symfoni php framework theori simpl crud app creat advanc real life applic symfoni laravel stuff,312,All Levels,245,4.1,423
440,deep learn python kera,understand build deep learn model imag text use python kera data weekend,148,Intermediate,10,4.4,2310
441,sap shana train plain english,simpl logist sap function consult logist sd mm siva prasad,54,Intermediate,7,4.4,2727
442,build social network scratch javascript php mysql,learn javascript php mysql build ultim social network websit scratch complet guid reec kenney,179,All Levels,165,4.5,1867
443,r program statist data scienc,r program data scienc data analysi appli r statist data visual ggplot r career,125,All Levels,65,4.5,1558
444,build data visual dj firebas,learn use v firebas firestor creat dynam svg data visual bar chart pie chart net ninja shaun pell,105,All Levels,105,4.8,720
445,robot framework test autom level selenium,fastest easiest way selenium test autom mobil test autom api test autom databas bryan lamb,77,Beginner,65,4.4,4175
446,master sql server integr servic ssispart,learn creat ssi packag scratch step step kameswara uppuluri,98,All Levels,105,4.3,2557
447,advanc rest api flask python,take rest api whole new level advanc flask python cours jose salvatierra,131,Expert,125,4.5,281
448,complet jqueri cours beginn advanc,use jqueri creat stun anim provid fast feedback form handl user event perform ajax call joe pari,51,All Levels,6,4.3,1760
449,apach kafka seri confluent schema registri rest proxi,kafka master avro confluent schema registri kafka rest proxi build avro producersconsum evolv schema stephan maarek aw certifi solut architect develop,58,Intermediate,45,4.7,1036
450,angular crash cours busi develop,limit time learn angular angular take cours learn angular hour mosh hamedani,137,All Levels,105,4.5,14194
451,mern stack react node ecommerc scratch deploy,mern stack react node mongodb power ecommerc app paypal credit card payment along admin dashboard ryan dhungel,162,All Levels,165,4.5,453
452,server side render react redux,build react redux react router app use server side render ssr isomorph univers js techniqu stephen grider,94,Intermediate,8,4.7,2420
453,openapi beginn guru,master openapi formerli swagger creat specif api john thompson,52,All Levels,5,4.5,111
454,qt c gui develop beginn fundament,build cross platform c gui applic qt run window mac linux android io embed devic daniel gakwaya,75,Beginner,145,4.5,700
455,master laravel vuej fullstack develop,learn build singl page applic laravel php framework vuej piotr jura,115,All Levels,135,4.5,103
456,cluster analysi unsupervis machin learn python,data scienc techniqu pattern recognit data mine kmean cluster hierarch cluster kde lazi programm inc,41,Beginner,5,4.5,2940
457,complet php mysql profession cours project,learn php mysql build project includ php regular express cm becom full stack backend develop jazeb akram,149,All Levels,20,4.2,1724
458,deep learn prerequisit logist regress python,data scienc techniqu profession student learn theori behind logist regress code python lazi programm inc,57,All Levels,6,4.6,2579
459,apach spark java develop,get process big data use rdd datafram sparksql machin learn real time stream kafka richard chesterwood,143,All Levels,215,4.6,837
460,django python complet bundl django real world project,django python bundl learn basic python advanc python ui design tkinter django arash shahvar,359,All Levels,56,4.7,854
461,ngrx ngrx data complet guid free ebook,learn modern ngrx ecosystem includ ngrx data store effect router store ngrx entiti devtool angular univers,52,All Levels,65,4.4,1493
462,learn devop advanc kubernet usag,cover authent author log helm deploy spinnak prometheu schedul edward viaen,34,Expert,35,4.3,842
463,microsoft flow crash cours,learn microsoft flow scratch alireza aliabadi,37,Beginner,4,4.5,689
464,deep learn recurr neural network python,gru lstm modern deep learn machin learn data scienc sequenc lazi programm inc,53,All Levels,75,4.6,2296
465,complet nextj react node beauti portfolio app,master nextj next react react node learn build isomorph websit incl seo blog deploy filip jerga,241,All Levels,385,4.4,351
466,matlabsimulink biblego zero hero,build practic project go beginn pro simulink projectbas simulink cours dr ryan ahm phd mba,41,All Levels,45,4.4,1216
467,introduct time seri analysi forecast r,work time seri sort time relat data r forecast time seri analysi predict analyt rtutori train,74,All Levels,85,4.4,1381
468,web compon stencilj build custom html element,complet introduct build custom html element web compon without stencilj academind maximilian schwarzmüller,143,All Levels,9,4.7,1046
469,microsoft sql server report servic ssr,build report sql server report servic ssr implement report layout add interact exam phillip burton,75,Beginner,6,4.3,1213
470,c beginn expert,design peopl dont knowledg program want program c arkadiusz włodarczyk,74,All Levels,155,4.3,7052
471,python rest api flask docker mongodb aw devop,learn python code rest api use flask framework understand use mongodb docker tensor flow tim buchalka learn program academi,45,Beginner,105,4.2,789
472,signal process problem solv matlab python,applicationsori instruct signal process digit signal process dsp use matlab python code mike x cohen,98,Beginner,125,4.6,597
473,selenium webdriv java novic ninja interview,join top rate best selenium cours basic advanc level pom grid maven jenkin interview let kode,282,All Levels,42,4.6,7344
474,solid principl introduc softwar architectur design,gain masteri solid principl write clean welldesign code object orient languag like java etc sujith georg,27,Beginner,2,4.5,1392
475,c develop learn art write clean code,learn techniqu write better c code stand technic interview mosh hamedani,20,All Levels,35,4.5,2511
476,gatsbi tutori project cours,creat blazingli fast websit gatsbi john smilga,323,Beginner,39,4.7,500
477,monitor alert prometheu,monitor alert infra app use lead opensourc monitor system visual use grafana edward viaen,35,Beginner,35,4.1,1176
478,design pattern python,discov modern implement design pattern python dmitri nesteruk,107,Intermediate,9,4.5,396
479,blender charact creator rig humanoid charact,learn blender basic rig export game engin uniti ben tristem,143,Beginner,265,4.6,854
480,build serverless app aw lambda hand,creat chat web app use amazon web servic lambda dynamodb api gateway cognito cloudfront sundog educ frank kane,60,Beginner,75,4.6,1089
481,x assembl languag ground,build assembl program x instruct set simd imag process algorithm dsp routin mmx sse avx israel gbati,75,All Levels,165,4.3,418
482,learn parallel program c net,discov core multithread parallel concept support net framework dmitri nesteruk,54,Intermediate,55,4.4,1327
483,python statist analysi,master appli statist python solv realworld problem stateoftheart softwar librari samuel hinton,53,Beginner,85,4.7,268
484,golang ultim guid microservic go part,everyth need get seriou microservic design develop golang design product metric federico león,30,All Levels,155,4.3,110
485,python network engin netmiko napalm pyntc telnet,program network use python learn network autom programm practic cours cisco network david bombal,182,Beginner,13,4.6,1633
486,microsoft dynam developertechn train part,updat complet dynam custom engag ce crm develop cours exmicrosoft employe satish reddi,49,All Levels,6,4.5,491
487,master sharepoint,leverag microsoft sharepoint featur capabl maximum advantag packt publish,36,Expert,4,4.2,134
488,complet develop guid mongodb,master mongodb mongoos design testdriven approach stephen grider,129,All Levels,135,4.5,5235
489,apach kafka seri kafka monitor oper,kafka monitor setup prometheu grafana kafka oper kafka cluster upgrad handson setup aw stephan maarek aw certifi solut architect develop,64,Expert,5,4.9,343
490,embed system baremet program ground stm,librari use profession cmsi standard arm cortex adcuarttim gpiospiic etc israel gbati,64,Intermediate,115,4.2,302
491,webdriverio v selenium webdriv use nodej,javascript autom test webdriv io nextgen test framework nodej use selenium webdriv gianni bruno,181,All Levels,17,4.4,635
492,qc quantum comput quantum physic beginn,master quantum comput quantum cryptographi quantum physic microsoft q q sharp ibm quantum experi kumaresan ramanathan,105,All Levels,35,4.3,468
493,bash shell script crash cours beginn,learn bash shell script total beginnerstart command linefinish real world shell script project francesco santi,75,All Levels,55,4.5,1255
494,unreal vr dev make vr experi unreal engin c,creat collabor epic learn build stun game tool vr design oculu rift steam vr gamedevtv team,82,Intermediate,17,4.5,386
495,build realworld app aspnet core angular,build fullstack web app aspnet core entiti framework core angular angular mosh hamedani,162,Intermediate,105,4.4,4115
496,learn c build applic,learn c c understand core concept use build real world net consol applic aveti ghukasyan,100,All Levels,135,4.5,1807
497,webpack complet tutori beginn,learn webpack basic advanc use webpack js css npm babel node viktor pyskunov,52,All Levels,35,4.6,1298
498,master fourier transform applic,learn fourier transform matlab python applic digit signal process imag process mike x cohen,54,All Levels,6,4.7,840
499,autom architect selenium webdriv live project,autom architect selenium webdriv live project learn indepth framework implement live project rahul arora,219,All Levels,485,4.4,1077
500,oracl databas c rac administr,extens cours lectur hour videobas session manag oracl c rac databas ahm baraka,60,All Levels,16,4.5,454
501,io swift app design uiux plu develop,threeinon cours teach app design uiux io develop includ sketch figma gwinyai nyatsoka,492,Beginner,805,4.6,504
502,best qa manual softwar test live projectagilejiraapi,ultim qa manual test cours live project live demo real time interview question life time support richa mehta,24,All Levels,45,4.2,2160
503,get start net core microservic rabbitmq,build net core microservic use rabbitmq messag manish narayan,77,All Levels,45,4.4,364
504,uml objectori design foundat,get start objectori design unifi model languag uml use uml effect commun karoli nyisztor,40,Beginner,2,4.4,1185
505,unsupervis deep learn python,theano tensorflow autoencod restrict boltzmann machin deep neural network tsne pca lazi programm inc,85,Intermediate,105,4.6,1260
506,es javascript complet develop guid,es javascript develop scratch get practic live exampl learn exactli appli es featur stephen grider,68,Beginner,6,4.5,8144
507,agil samurai bootcamp,everyth need setup execut success deliv agil project jonathan rasmusson,34,All Levels,3,4.4,4799
508,microservic softwar architectur pattern techniqu,learn design implement microservic system use right architectur design pattern techniqu binari brain,18,All Levels,1,4.0,3824
509,complet git guid understand master git github,complet git github guid master basic advanc git featur commit branch merg rebas squash bogdan stashchuk,215,All Levels,18,4.7,146
510,beginn guid anim uniti v v,ultim guid uniti mecanim cover keyfram curv invers kinemat strafe set blend penni de byl,63,Beginner,115,4.6,1221
511,plc program train scratch rslogix,plc program scratch train class control engin equip plc system allen bradley rslogix vladimir romanov,91,All Levels,145,4.4,622
512,sql server administr part,sql educ purpos raphael asghar,59,Beginner,10,4.5,2022
513,scala spark big data machin learn,learn latest big data technolog spark scala includ spark datafram jose portilla,80,All Levels,10,4.4,3918
514,git github complet masterclass beginn git expert,comprehens step step git github tutori great easi understand exampl quizz bibhash roy,120,All Levels,125,4.4,1113
515,build multiplay kart race game uniti v,learn vehicl physic game mechan ai network multiplay kart race experi penni de byl,65,Beginner,145,4.6,123
516,learn oauth get start api secur expert,imagin could happen profession career skill oauth satisfi student matthia biehl,52,All Levels,4,4.3,1209
517,get start apach cassandra,learn everyth need know use apach cassandra infinit skill,124,All Levels,8,4.3,1767
518,featur select machin learn,beginn advanc soledad galli,52,All Levels,5,4.6,735
519,complet asp net mvc web develop newbi ninja,quickli learn web develop asp net mvc c absolut basic ninja learn c mvc like pro brett hargreav,92,All Levels,155,4.3,1984
520,uniti c script complet c uniti game develop,learn c script uniti game develop absolut basic creat game uniti use c raja biswa,114,Beginner,255,4.6,658
521,docker java develop,learn use docker supercharg enterpris java develop john thompson,104,Intermediate,10,4.2,1890
522,materi css scratch project,master html materi css framework build real world respons materi design base theme brad traversi,63,All Levels,105,4.8,1261
523,sql advanc,lead enhanc sql skill transform senior sql develop learn sql amarnath reddi,82,Expert,5,4.4,1131
524,make first game uniti c beginn cours,beginn cours game develop learn use uniti program c make small game z noa calic aka blackthornprod,45,Beginner,4,4.5,809
525,game artist design simpl pixel art scratch,make art game icon anim use gimp free photoshop altern ben tristem,103,Beginner,185,4.5,959
526,complet apach groovi develop cours,learn program use apach groovi dan vega,129,All Levels,135,4.3,1917
527,azur devop board project managersanalystdevelop,microsoft project manag tool azur devop board tf vst azur devop patrick video,7,Beginner,15,4.4,1023
528,learn java unit test junit mockito step,learn mockito junit popular java unit test mock framework exampl inminut offici,38,All Levels,5,4.4,2753
529,apach kafka realtim stream process master class,process realtim stream use apach kafka kafka stream api start beginn finish pro learn journal prashant kumar pandey,75,All Levels,11,4.6,136
530,io swift complet io app develop bootcamp,beginn io app develop one cours angela yu,525,All Levels,555,4.7,125
531,xero onlin account learn xero day,need get regist setup confid use xero uk qualifi account xero certifi advisor marion thomson,70,All Levels,4,4.5,551
532,beginn guid machin learn uniti,advanc game ai genet algorithm neural network qlearn c tensorflow uniti penni de byl,77,Intermediate,13,4.5,1207
533,serverless react aw amplifi complet guid,build fullstack react app faster ever scale million user run entir cloud reed barger,62,All Levels,85,4.4,561
534,build blockchain cryptocurr scratch,build blockchain cryptocurr discov engin idea behind technolog like bitcoin ethereum david joseph katz,71,Intermediate,65,4.5,1836
535,complet python script autom,autom repetit task python python script autom autom python python autom narendra p,100,Beginner,245,4.5,202
536,sdettest architect essenti road full stack qa,advanc tutori learn essenti skill need transform career qa engin sdettest architect rahul shetti,72,All Levels,13,4.5,623
537,docker crash cours busi devop develop,learn develop deploy web applic docker technolog take devop skill next level tao w,49,All Levels,3,4.4,8598
538,terraform aw beginn advanc fast track,learn terraform quickli easili effect tj addam,47,All Levels,3,4.7,186
539,azur devop fundament beginn,learn plan manag deploy first azur devop applic handson demo use case brian culp,41,Intermediate,3,4.4,376
540,build real world applic blazor net core,build real world applic use blazor allow develop run c browser bhrugen patel,57,Beginner,35,4.3,135
541,complet linear algebra data scienc machin learn,linear algebra data scienc big data machin learn engin comput scienc master linear algebra kashif,210,All Levels,18,4.7,263
542,mathemat foundat machin learn ai,learn core mathemat concept machin learn learn implement r python eduonix learn solut,19,All Levels,45,4.3,810
543,user stori agil scrumproduct ownerbusi analysi,complet overview requir user stori templat epic split accept criteria busi analyst exampl paul ashun,27,All Levels,15,4.1,1597
544,practic data structur algorithm java hw,go zero hero import algorithm data structur use java imtiaz ahmad,45,All Levels,115,4.6,3987
545,laravel vuej fullstack web develop,learn build rest api singl page applic laravel vuej scratch compat laravel ede muhamad saprudin,184,All Levels,25,4.6,360
546,laravel complet guid real world project,build simpl advanc web applic use php popular web framework complet rerecord kati frantz,196,All Levels,24,4.4,1579
547,learn understand dj data visual,dive deep hood dj learn core concept build stun data visual use version x lui ramirez jr,84,All Levels,105,4.5,601
548,aw dynamodb complet guid build hand demo,master amazon dynamodb serverless nosql aw databas integr dynamodb w web mobil app nodej rest api rizmax academi riyaz sayyad,121,All Levels,165,4.2,725
549,vue js essenti vuex vue router,limit time learn vue vuex vue router take cours learn vue hour stephen grider,139,Beginner,105,4.5,1291
550,facebook clone laravel tdd vue tailwind css,learn code social network platform power laravel api built use vue singl page applic victor gonzalez,64,Intermediate,9,4.7,104
551,program microsoft c exam,train mcsd window store app use c certif infinit skill,101,Beginner,85,4.3,2169
552,apach kafka seri ksql ksqldb stream process,use sql apach kafka confluent ksqldb build entir taxi book applic base ksql stream process stephan maarek aw certifi solut architect develop,36,Beginner,4,4.6,326
553,apach spark big data essenti w scala rock jvm,updat learn practic big data scala apach spark spark datafram dataset rdd spark sql daniel ciocîrlan,25,Intermediate,75,4.8,125
554,objectori program javascript,learn oop understand confus part javascript prepar technic interview mosh hamedani,64,Intermediate,4,4.6,2076
555,data scienc supervis machin learn python,full guid implement classic machin learn algorithm python scikit learn lazi programm inc,52,Beginner,6,4.6,1490
556,io make amaz iphon app xcode swift,learn swiftui dark mode sign appl swift packag manag sf symbol new xcode swift nick walter,94,Beginner,12,4.6,208
557,rock aw serverless real world guid,learn aw serverless architectur lambda api gateway devop cicd dynamodb sam cloud serverless framework rajdeep saha cloud architect fortun compani,175,All Levels,16,4.7,138
558,sql server integr servic ssi introduct,learn basic sql server integr servic ssi practic activ use certif phillip burton,46,Beginner,4,4.4,1768
559,firebas firestor masterclass,fullstack develop angular firestor firebas storag host firebas cloud function angularfir angular univers,63,All Levels,7,4.4,374
560,learn aw deploy java spring boot aw elast beanstalk,learn aw deploy java spring boot app aw elast beanstalk take java spring boot rest api full stack aw inminut offici,66,Beginner,65,4.5,366
561,ssl complet guid http http,configur cloudflar free let encrypt ssltl certif nginx apach web server creat csr ssl request bogdan stashchuk,110,All Levels,11,4.4,307
562,learn spring boot step beginn expert,becom expert spring boot develop rest api spring mvc web applic step inminut offici,119,All Levels,135,4.2,2257
563,python exercis evalu improv skill,boost python skill solv python assign rang easi expert level solut includ ardit sulc,207,All Levels,3,4.3,1465
