_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
5e41178770dfe123d09ba870,JSF 2.2 - Java Server Faces for Beginners - Build a DB App,"4.4
(1,776 ratings)",JSF 2.2 - Build a Real JSF Web Application that connects to a Database - Most Popular JSF course | By Chad Darby,58 lectures,All Levels,5.5 hours
5e41178770dfe123d09ba871,SQL Beginner to Guru: MySQL Edition - Master SQL with MySQL,"4.6
(568 ratings)",SQL skills are in demand. Learn to master SQL using MySQL. Become a SQL Guru today! | By John Thompson,166 lectures,All Levels,11 hours
5e41178770dfe123d09ba872,Laravel 6 PHP Framework for Beginner to Advance with Project,"4.2
(37 ratings)","In This Course You Will Learn Laravel 6 CRUD Application, Default Authentication System, Complete Advance Blog Project | By easy Learning",130 lectures,All Levels,28 hours
5e41178770dfe123d09ba873,Intro to Airplane Physics in Unity 3D - 2017 & 2018,"4.7
(339 ratings)",Learn how to build your very own Custom Airplane Physics with Unity & C# | By Indie - Pixel,149 lectures,Beginner,20.5 hours
5e41178770dfe123d09ba874,DevOps: CI/CD using AWS CodePipeline & Elastic Beanstalk,"4.2
(934 ratings)","Learn Automated Continuous Deployment using AWS CodePipleine, Elastic Beanstalk & Lambda (includes example PHP project). | By Ali Rizavi",62 lectures,Intermediate,4.5 hours
5e41178770dfe123d09ba875,React - Mastering Test Driven Development,"4.3
(1,157 ratings)","Upgrade your React skills with Test Driven Development! Jest, Enzyme, Redux, middleware, ES6, & more! | By David Joseph Katz",46 lectures,Intermediate,4.5 hours
5e41178770dfe123d09ba876,iOS 12: Learn to Code & Build Real iOS 12 Apps in Swift 4.2,"4.7
(673 ratings)",Master iOS 12 development with Swift 4.2 building full-stack apps in this brand new course. Incl. Core ML 2 & ARKit 2! | By Caleb Stultz,253 lectures,All Levels,52 hours
5e41179470dfe123d09ba877,Lumen Microservices: Create Services and APIs with Lumen,"4.3
(291 ratings)","With Lumen by Laravel, build a complete set of PHP microservices and APIs and its security layers using Lumen and OAuth2 | By JuanD MeGon",61 lectures,All Levels,4 hours
5e41179470dfe123d09ba878,Blockchain Development on Hyperledger Fabric using Composer,"4.2
(1,923 ratings)",Learn to develop Network Applications on Hyperledger Fabric & Composer Technology | By Rajeev Sakhuja,89 lectures,Intermediate,8.5 hours
5e41179470dfe123d09ba879,Introduction to Node-RED,"4.6
(44 ratings)",Learn Node-RED for rapid prototyping and development of applications | By Venkatesh Varadachari,27 lectures,Beginner,5 hours
5e41179470dfe123d09ba87a,Vue JS 2: From Beginner to Professional (includes Vuex),"4.4
(743 ratings)","Learn Vue JS, and become a VueJS professional. Build complex SPAs with Vue.js, a simple and popular JavaScript framework | By Bo Andersen",221 lectures,All Levels,15.5 hours
5e41179470dfe123d09ba87b,Architect SaaS Applications - Unique Challenges & Solutions,"4.3
(188 ratings)","Intro to SaaS, scalability, multi-tenancy, provisioning, security, APIs, management, maintenance | By V2 Maestros, LLC",40 lectures,Intermediate,3.5 hours
5e41179470dfe123d09ba87c,Introduction to Java for Programmers,"4.4
(1,218 ratings)","With over 200 videos and 20 hours of content, this Java training course will teach you to program in Java 7 and Eclipse. | By Learn by the Byte",207 lectures,Beginner,20 hours
5e41179470dfe123d09ba87d,iOS 12 & Xcode 10 - Complete Swift 4.2 & Objective-C Course,"4.5
(442 ratings)",A Complete iOS 12 and Xcode 10 Course with Swift 4.2 & Objective-C | By Aaron Caines,280 lectures,All Levels,72.5 hours
5e41179470dfe123d09ba87e,Create POS System - Inventory & sales with PHP 7 & adminLTE,"4.1
(126 ratings)",Learn how to create a POS system with inventory management and billing using PHP 7 and AdminLTE | By Juan Fernando Urrego,105 lectures,Beginner,25 hours
5e41179470dfe123d09ba87f,Selenium WebDriver: JavaScript Automation For Beginners 2019,"4.4
(113 ratings)","Become A Master Of Browser Automation With Selenium WebDriver, JavaScript and Node.Js (Practice Website Included) | By Rangel Stoilov",23 lectures,All Levels,3 hours
5e41179470dfe123d09ba880,Create a REST API using basic PHP with Token Authentication,"4.6
(138 ratings)",Develop a real world REST API with login - Basic PHP and MySQL (no frameworks needed) - following a real world scenario. | By Michael Spinks,32 lectures,All Levels,11.5 hours
5e41179470dfe123d09ba881,Reinforcement Learning with Pytorch,"4.1
(238 ratings)","Learn to apply Reinforcement Learning and Artificial Intelligence algorithms using Python, Pytorch and OpenAI Gym | By Atamai AI Team",69 lectures,Beginner,7 hours
5e41179470dfe123d09ba882,Programming Numerical Methods in Python,"4.4
(271 ratings)",A Practical Approach to Understand the Numerical Methods | By Murad Elarbi,57 lectures,Beginner,12.5 hours
5e41179470dfe123d09ba883,Gutenberg Blocks for WordPress and React Developers,"4.4
(76 ratings)",Use Your ReactJS and Redux Knowledge to Create Complex Gutenberg Blocks and Plugins from scratch. | By Ali Alaa,119 lectures,Expert,11.5 hours
5e41179470dfe123d09ba884,Deep Learning for Computer Vision with Tensor Flow and Keras,"4.0
(313 ratings)","Deep Learning review, CNNs, VGG-16, Faster R-CNN, TensorFlow Object Detection API, YOLO. Train your own data. | By CARLOS QUIROS",56 lectures,Intermediate,9 hours
5e41179470dfe123d09ba885,Data Modeling and Relational Database Design using ERwin,"4.3
(614 ratings)",Course that teaches how ERwin Data modeler can help you create & maintain sound relational database designs | By Haris Kilikotu,34 lectures,All Levels,3.5 hours
5e41179470dfe123d09ba886,Learn Blockchain By Building Your Own In JavaScript,"4.5
(817 ratings)",Code out your very own Blockchain and decentralized network in the JavaScript programming language. | By Eric Traub,75 lectures,Intermediate,8 hours
5e4117a170dfe123d09ba887,Salesforce Lightning: Learn about Salesforce Lightning,"4.6
(391 ratings)",Learn Salesforce Lightning: Step by Step Guide to Lightning UI. Learn to build a custom App in Salesforce Lightning UI | By Deepika Khanna,41 lectures,All Levels,5.5 hours
5e4117a170dfe123d09ba888,Build Real World App with Xamarin Forms,"4.5
(32 ratings)",Learn Xamarin Forms Real World Application From Beginning to End | By Asfend Yar Hamid,96 lectures,All Levels,5 hours
5e4117a170dfe123d09ba889,Android Firebase Masterclass - Master Google Firebase,"4.1
(50 ratings)",Create Cloud based Android applications using Google Firebase and expand your career options | By Tim Buchalka's Learn Programming Academy,123 lectures,Intermediate,20 hours
5e4117a170dfe123d09ba88a,Mastering C++ Standard Library Features,"4.2
(296 ratings)",Harness the power of the C++ STL and make full use of its components | By Packt Publishing,28 lectures,Intermediate,6 hours
5e4117a170dfe123d09ba88b,Learn C# With Windows Forms and SQL Server,"4.6
(744 ratings)",With a real database project! | By A O,66 lectures,Intermediate,11 hours
5e4117a170dfe123d09ba88c,Godot 3 Complete Developer Course - 2D and 3D,"4.4
(382 ratings)",Game development with Godot 3. Learn GDScript and how to use the engine while building your first 6 2D and 3D games | By Guilherme Oliveira,84 lectures,All Levels,8.5 hours
5e4117a170dfe123d09ba88d,The Ultimate Hands-On Flutter & MVVM - Build Real Projects,"4.6
(16 ratings)",Learn the Art of Building Modern Flutter Applications | By Mohammad Azam,82 lectures,All Levels,9 hours
